active_cryptocurrencies,total_cryptocurrencies,active_market_pairs,active_exchanges,total_exchanges,eth_dominance,btc_dominance,eth_dominance_yesterday,btc_dominance_yesterday,defi_volume_24h,defi_volume_24h_reported,defi_market_cap,defi_24h_percentage_change,stablecoin_volume_24h,stablecoin_volume_24h_reported,stablecoin_market_cap,stablecoin_24h_percentage_change,derivatives_volume_24h,derivatives_volume_24h_reported,derivatives_24h_percentage_change,total_crypto_dex_currencies,today_incremental_crypto_number,past_24h_incremental_crypto_number,past_7d_incremental_crypto_number,past_30d_incremental_crypto_number,today_change_percent,last_updated,total_market_cap,total_volume_24h,total_volume_24h_reported,altcoin_volume_24h,altcoin_volume_24h_reported,altcoin_market_cap,total_market_cap_yesterday,total_volume_24h_yesterday,total_market_cap_yesterday_percentage_change,total_volume_24h_yesterday_percentage_change,date
9753,34666,103599,822,10481,9.285856842368,63.531549338648,9.3210244,63.62815728,35065770674.09412,61661785617.63866,87829442776.67409,-16.242130956377,88230765098.46118,405588120971.1596,230882300726.3852,-36.416943891925,800660361402.2771,800660361402.2771,-39.81761061936,16398210,0,49353,322936,1638860,0.023367765257,2025-06-01T02:01:59.999Z,3258240674719.5625,93864666954.35,415955606471.58,57087684602.44664,285880618959.53687,1188229892888.2002,3232835962899.915,146359456859.95,0.7858336182593888,-35.86702973066632,2025-06-01 02:03:43
9745,34668,103528,822,10489,9.263006832374,63.580894239391,9.31818273,63.48529781,34462686721.88376,58293993701.57376,89629787997.34624,-1.97016777487,80355573530.70145,399498513130.9359,230874923980.40625,-9.46838941064,804190386380.2584,804190386380.2584,-0.563689800838,16448881,0,51509,316502,1627399,0.018205159746,2025-06-02T01:49:59.999Z,3296106695718.8843,85330745420.4,409430082273.93,49734978961.39751,275793180812.81915,1200412583496.369,3265386119210.5825,94777559956.65,0.9407946070319184,-9.967353602024405,2025-06-02 01:51:39
9752,34678,103557,821,10493,9.542647286678,63.175862407006,9.26279359,63.58166513,37422977064.64899,65468105276.333206,92903320393.9614,8.59464280173,104284979868.71364,552422820874.1836,231714434036.84488,28.032968288598,1061263467865.5914,1061263467865.5914,31.966765331346,16502306,0,53403,309016,1627552,0.018279574454,2025-06-03T01:46:59.999Z,3344207580920.3457,109601244095.29,564976001202.9,62300331358.29689,357005411519.8655,1231475600993.4597,3296048441218.3296,86426271059.96,1.461117473267933,26.814732084474485,2025-06-03 01:48:17
9760,34695,103699,821,10493,9.489165056686,63.156468332606,9.54264729,63.17586241,38043723385.60439,70727245837.91406,93125368513.79504,1.658730463595,104131367666.33987,542937470765.3068,232024721594.04053,-0.147300409481,988001263475.941,988001263475.941,-6.903300321549,16560154,81,57335,315220,1632264,0.022118211998,2025-06-04T01:45:59.999Z,3324630438150.162,109165122012.25,555622307744.5,64068207544.55729,363157628910.1607,1224911268303.6902,3344207580920.3457,109601244095.29,-0.5854045329565167,-0.3979170917629631,2025-06-04 01:48:26
9749,34709,103721,821,10497,9.558464280719,63.272042673234,9.48916506,63.15646833,36296734094.02413,70954647227.80045,90156215594.42604,-4.592056549968,97839186277.76424,513794159940.9644,232584808434.7625,-6.042541771599,958622452905.195,958622452905.195,-2.973560020297,16619153,2,59688,325433,1636092,0.018060739935,2025-06-05T01:44:59.999Z,3294815928631.0254,103525127305.8,525522693193.07,59354266746.52398,351635193036.2244,1210118588263.0808,3324630438150.162,109165122012.25,-0.8967766515344096,-5.166480467833949,2025-06-05 01:47:05
9732,34724,103697,821,10500,9.192095599943,63.693684329602,9.55846428,63.27204267,38082254575.39144,74006809259.18365,85512771230.92091,4.919231787472,133947273977.49342,809491340993.7427,232312822486.32547,36.90554784176,1435076092783.785,1435076092783.785,49.701906984825,16677958,0,58305,333192,1643110,0.022069921108,2025-06-06T01:43:59.999Z,3181379725376.7607,140609947282.45,828933728637.9,81859221905.3486,519116590063.69977,1155041765769.3154,3294815928631.0254,103525127305.8,-3.442869213680069,35.822047208989375,2025-06-06 01:46:37
9736,34740,103804,821,10502,9.169864377486,63.83680269825,9.18655924,63.69905717,34337414344.776443,61379714223.76725,87225297794.94603,-9.828163175636,103759785592.99773,560144193007.9263,233187546697.12936,-22.600965565018,1044389847837.7328,1044389847837.7328,-27.233573516221,16742166,0,65834,348071,1645374,0.012831527421,2025-06-07T01:43:59.999Z,3254140536748.0474,108026063468.31,572525532553.15,60528594352.32359,351918731267.4697,1176801262780.4114,3181367148331.281,140686325965.79,2.2874878951,-23.21495161187296,2025-06-07 01:45:59
9727,34741,103809,821,10502,9.229320047349,63.767175539953,9.17403627,63.82675732,30988443137.55758,55257313077.91133,89367265436.91638,-9.696957280602,81605138121.95663,355149912413.4909,233414209816.1577,-21.379381954459,692778161549.289,692778161549.289,-33.650943181054,16793075,0,49744,347485,1632753,0.019845449689,2025-06-08T01:53:59.999Z,3297162881743.2407,85378924015.03,363192091759.23,47790525896.72443,237533409138.22443,1194655239103.8633,3256223093403.111,108531084766.9,1.257278361027275,-21.332285401547,2025-06-08 01:56:03
9721,34742,103863,821,10502,9.150926697345,63.704980782613,9.2302294,63.76946373,31160565090.26097,52825486692.04731,88955726452.74706,0.569313734337,87162594857.18452,379218226325.5981,233473262651.58112,6.789957275358,736591821205.4558,736591821205.4558,6.492208880681,16834723,9,42795,335731,1617531,0.013028344521,2025-06-09T01:51:59.999Z,3296398716289.508,91829398836.41,388070217794.43,53917820864.7672,259287115138.8414,1196428547558.9597,3297522766492.7305,85391342030.09,-0.0340877162288109,7.539472566260159,2025-06-09 01:53:38
9711,34754,103938,822,10507,9.515353253617,63.544454083066,9.15090642,63.7025094,37733945634.74256,69668709927.67082,95255261609.62524,21.168880401947,123186480036.27342,683762291422.1975,233768885742.242,41.417397549332,1244923088829.2322,1244923088829.2322,68.941585031744,16876708,4,41247,320390,1611995,0.017387929932,2025-06-10T01:47:59.999Z,3437145539431.0103,129190929221.31,699813825487.15,70317962915.44154,419939696888.684,1253030170359.1074,3297509869972.025,91773152787.75,4.2345792723941,40.77202896156203,2025-06-10 01:49:45
9712,34764,104122,823,10512,9.741884420073,63.236759044148,9.51535325,63.54445408,40720031970.5097,98601316063.80247,98370763191.4194,7.913527953509,136827738384.613,762425917199.0647,233620197616.04227,11.073665181701,1316104257536.5442,1316104257536.5442,5.717716166246,16926678,1,50240,310764,1611128,0.016308280388,2025-06-11T01:46:59.999Z,3446447348941.6323,143667786643.96,780337924595.5,88798999789.56886,551615290984.5092,1267025743307.974,3437145539431.0103,129190929221.31,0.2706260006715411,11.205784732649818,2025-06-11 01:49:10
9688,34778,104090,824,10514,9.80025573392,63.268305529065,9.74188442,63.23675904,38842994828.795006,84087089464.67302,96124238314.86926,-4.609616080543,126040846677.87134,710442975211.383,233911220321.74844,-7.883556239467,1229075790940.2783,1229075790940.2783,-6.61258149557,16973281,2,47240,299155,1597458,0.012603748174,2025-06-12T01:45:59.999Z,3408008774423.6133,131782066116.21,727098092092.35,81732389700.01456,516902643948.1743,1251819370563.929,3446447348941.6323,143667786643.96,-1.1153100751654677,-8.273058843180621,2025-06-12 01:47:45
9687,34796,104069,824,10518,9.369684854753,63.913839637616,9.79771525,63.25218017,39253078478.72678,86822721803.2008,86782088014.28093,1.106695205504,147717975919.859,878230088245.8726,233794010484.43118,17.147743436196,1514997589630.3342,1514997589630.3342,23.244700484989,17019761,2,45737,279892,1591516,0.017500370076,2025-06-13T01:46:59.999Z,3227333698527.819,153578205521.36,899658823326.45,87905723480.11534,584555265415.6135,1164620813880.0015,3405982470690.7773,132068459101.62,-5.245146553168439,16.286815615217648,2025-06-13 01:48:48
